isExoplanet,hostName,orbitalPeriod,orbitalPeriodMin,orbitalPeriodMax,transitDuration,transitDurationMin,transitDurationMax,transitDepth,transitDepthMin,transitDepthMax,impactParameter,impactParameterMin,impactParameterMax,planetRadiusEarth,planetRadiusEarthMin,planetRadiusEarthMax,planetRadiusJupiter,planetRadiusJupiterMin,planetRadiusJupiterMax,planetMassEarth,planetMassEarthMin,planetMassEarthMax,planetMassJupiter,planetMassJupiterMin,planetMassJupiterMax,planetDensity,planetDensityMin,planetDensityMax,equilibriumTemperature,equilibriumTemperatureMin,equilibriumTemperatureMax,insolationFlux,insolationFluxMin,insolationFluxMax,stellarEffectiveTemperature,stellarEffectiveTemperatureMin,stellarEffectiveTemperatureMax,stellarSurfaceGravity,stellarSurfaceGravityMin,stellarSurfaceGravityMax,stellarRadius,stellarRadiusMin,stellarRadiusMax,stellarMass,stellarMassMin,stellarMassMax,stellarMetallicity,stellarMetallicityMin,stellarMetallicityMax,stellarAge,stellarAgeMin,stellarAgeMax,rightAscension,declination,magnitude
0,,0.980505042,9.38E-07,-9.38E-07,1.4068,0.0467,-0.0467,4.27E+02,1.00E+01,-1.00E+01,1.206,2.954,-0.102,26.35,7.74E+00,-4.75E+00,,,,,,,,,,,,,1904,,,3100.61,2771.91,-1293.23,5794,182,-202,4.372,0.128,-0.192,1.059,0.311,-0.191,,,,,,,,,,296.34799,44.501961,15.198
0,,75.681309,3.84E-03,-3.84E-03,11.62,2,-2,1.08E+02,2.01E+01,-2.01E+01,0.6194,0.0555,-0.4638,1.64,9.30E-01,-4.40E-01,,,,,,,,,,,,,560,,,23.25,39.5,-12.12,6297,149,-191,4.155,0.211,-0.299,1.506,0.855,-0.398,,,,,,,,,,294.05481,39.845249,12.211
0,,0.762950224,3.29E-06,-3.29E-06,1.133,0.109,-0.109,1.87E+02,1.59E+01,-1.59E+01,0.197,0.259,-0.197,1,1.80E-01,-8.00E-02,,,,,,,,,,,,,1651,,,1763.73,1054.13,-462.01,5385,187,-187,4.61,0.037,-0.112,0.731,0.132,-0.057,,,,,,,,,,282.91397,47.970299,15.556
0,,62.060783,2.22E-03,-2.22E-03,28.203,0.777,-0.777,4.73E+02,2.66E+01,-2.66E+01,0.928,0.013,-0.653,2.11,5.00E-01,-1.70E-01,,,,,,,,,,,,,400,,,6.07,4.63,-1.57,5526,200,-183,4.578,0.045,-0.144,0.784,0.185,-0.062,,,,,,,,,,287.24524,38.68808,15.745
0,,170.995748,1.23E-03,-1.23E-03,3.88,0.174,-0.174,4.77E+02,3.56E+01,-3.56E+01,0.839,0.099,-0.589,4.9,8.30E-01,-1.25E+00,,,,,,,,,,,,,463,,,10.86,4.73,-5.16,6127,73,-85,3.991,0.188,-0.101,1.983,0.337,-0.506,,,,,,,,,,298.03305,39.883179,13.985
0,,12.4252735,4.78E-04,-4.78E-04,20.756,0.369,-0.369,8.47E+01,2.60E+00,-2.60E+00,0.171,0.313,-0.171,2.37,4.60E-01,-9.30E-01,,,,,,,,,,,,,1299,,,673.53,422.56,-455.15,6156,203,-203,3.703,0.323,-0.108,2.557,0.5,-1,,,,,,,,,,297.66504,40.681992,13.046
0,,39.2820405,5.33E-04,-5.33E-04,3.344,0.482,-0.482,1.58E+02,2.21E+01,-2.21E+01,1.241,0.3793,-0.2614,58.67,2.06E+01,-2.74E+01,,,,,,,,,,,,,823,,,108.22,115.49,-81.05,6143,195,-188,3.81,0.455,-0.201,2.136,0.749,-0.997,,,,,,,,,,297.66504,40.681992,13.046
0,,361.5456125,,,25.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.82489,45.34808,15.894
0,,19.5650801,1.77E-04,-1.77E-04,4.242,0.277,-0.277,6.17E+01,5.30E+00,-5.30E+00,0.025,0.425,-0.025,0.97,1.80E-01,-1.20E-01,,,,,,,,,,,,,791,,,92.77,46.07,-27.1,6180,111,-135,4.294,0.099,-0.132,1.235,0.223,-0.149,,,,,,,,,,283.72427,46.879112,12.674
0,,355.79978,1.25E-02,-1.25E-02,5.972,0.629,-0.629,1.72E+02,2.00E+01,-2.00E+01,0.4433,0.5256,-0.2391,1.87,1.10E+00,-4.20E-01,,,,,,,,,,,,,324,,,2.6,4.72,-1.27,6350,174,-255,4.225,0.165,-0.317,1.394,0.82,-0.314,,,,,,,,,,283.72427,46.879112,12.674
